supplier_id,supplier_name,supplier_country,contracted_lead_days,reliability_score,supplier_category,total_shipments,on_time_count,avg_delay_days,total_shipping_cost,revenue_handled,on_time_rate_pct
S001,GlobalTech Parts,China,14,0.88,Electronics,801,703,0.67,65109.99,4575219.7,87.77
S002,QuickShip Logistics,USA,3,0.96,Logistics,994,948,0.26,78954.65,7851011.55,95.37
S003,EuroComponents GmbH,Germany,7,0.93,Electronics,235,224,0.25,18545.17,1386568.95,95.32
S004,AsiaPac Supplies,Vietnam,10,0.81,Raw Materials,745,599,1.19,58535.81,1121130.4,80.4
S005,FastTrack Fulfillment,USA,2,0.97,Logistics,257,248,0.15,20086.25,256716.6,96.5
S007,IndoTextiles Ltd,India,12,0.79,Textiles,243,204,0.95,18104.88,1388386.65,83.95
S009,PacRim Electronics,South Korea,9,0.91,Electronics,242,213,0.69,20031.31,507734.75,88.02
S010,Southern Plastics Co,Brazil,6,0.85,Plastics,261,219,0.85,20329.22,171794.0,83.91
S011,GreatWall Manufacturing,China,15,0.76,Heavy Equipment,488,376,1.19,40379.15,5895043.35,77.05
S012,MidWest Steel Inc,USA,4,0.92,Raw Materials,730,667,0.49,59350.57,2990790.35,91.37
